T_sec_out_target_K,T_sec_out_target_degC,x_bypass,COP,W_net_kW,T_expander_out_degC
187.6500,-85.5000,0.051158,0.289797,28.7945,-99.4315
187.9776,-85.1724,0.056786,0.281897,28.6407,-98.6547
188.3052,-84.8448,0.062395,0.273850,28.4928,-97.8774
188.6328,-84.5172,0.068019,0.265708,28.3436,-97.0982
188.9603,-84.1897,0.073627,0.257517,28.1941,-96.3219
189.2879,-83.8621,0.079253,0.249223,28.0432,-95.5433
189.6155,-83.5345,0.084890,0.240843,27.8913,-94.7643
189.9431,-83.2069,0.090537,0.232375,27.7385,-93.9850
190.2707,-82.8793,0.096195,0.223818,27.5847,-93.2054
190.5983,-82.5517,0.101865,0.215171,27.4300,-92.4258
190.9259,-82.2241,0.107581,0.206382,27.2735,-91.6417
191.2534,-81.8966,0.113275,0.197534,27.1170,-90.8608
191.5810,-81.5690,0.119010,0.188575,26.9590,-90.0786
191.9086,-81.2414,0.124741,0.179550,26.8007,-89.2993
192.2362,-80.9138,0.130575,0.170341,26.6396,-88.5127
192.5638,-80.5862,0.136388,0.161048,26.4785,-87.7283
192.8914,-80.2586,0.142192,0.151703,26.3174,-86.9485
193.2190,-79.9310,0.148079,0.142156,26.1538,-86.1612
193.5466,-79.6034,0.153982,0.132518,25.9897,-85.3760
193.8741,-79.2759,0.159919,0.122758,25.8246,-84.5904
194.2017,-78.9483,0.165895,0.112870,25.6585,-83.8043
194.5293,-78.6207,0.171913,0.102851,25.4913,-83.0178
194.8569,-78.2931,0.177978,0.092689,25.3229,-82.2301
195.1845,-77.9655,0.184089,0.082391,25.1535,-81.4423
195.5121,-77.6379,0.190251,0.071946,24.9830,-80.6538
195.8397,-77.3103,0.196452,0.061377,24.8118,-79.8665
196.1672,-76.9828,0.202702,0.050640,24.6406,-79.0778
196.4948,-76.6552,0.209011,0.039740,24.4683,-78.2880
196.8224,-76.3276,0.215374,0.028694,24.2951,-77.4988
197.1500,-76.0000,0.221953,0.017432,24.1100,-76.7050
