metric,value,unit
cycle,bypass_a_brayton,-
pressure_ratio,2.400000,-
P_low,101325.00,Pa
P_high,243180.00,Pa
x_bypass,0.204013,-
Q_cold,999.9843,W
hx_load_effectiveness,0.998865,-
Q_aftercooler,25648.2119,W
W_compressor,40543.7887,W
W_expander,15900.1186,W
W_net,24643.6701,W
COP,0.040578,-
Q_recuperator,31970.0143,W
T_load_sec_out,-79.9986,degC
T_load_sec_in,30.9823,degC
energy_error,4.56e-03,-
mass_flow,0.3820,kg/s
y_sec,0.990281,-
mdot_load_sec,0.008038,kg/s
T_chuck_sec_in,30.0000,degC
T_chuck_sec_out,30.0000,degC
T_load_sec_in,30.9823,degC
T_load_sec_out,-79.9986,degC
Q_chuck,0.00,W
Q_heater,1000.00,W
