pressure_ratio,COP,Q_cold_kW,T_turb_out_degC
2.0000,0.972729,21.6196,-17.9897
2.3898,0.882228,26.5270,-27.7505
2.7797,0.814868,30.5044,-35.6609
3.1695,0.762292,33.8261,-42.2667
3.5593,0.719813,36.6633,-47.9085
3.9492,0.684579,39.1297,-52.8121
4.3390,0.654748,41.3040,-57.1345
4.7288,0.629070,43.2429,-60.9884
5.1186,0.606663,44.9886,-64.4579
5.5085,0.586887,46.5732,-67.6067
5.8983,0.569264,48.0216,-70.4845
6.2881,0.553429,49.3535,-73.1305
6.6780,0.539098,50.5848,-75.5763
7.0678,0.526045,51.7285,-77.8478
7.4576,0.514091,52.7952,-79.9660
7.8475,0.503089,53.7937,-81.9487
8.2373,0.492917,54.7317,-83.8108
8.6271,0.483476,55.6153,-85.5650
9.0169,0.474682,56.4502,-87.2221
9.4068,0.466463,57.2409,-88.7914
9.7966,0.458758,57.9915,-90.2809
10.1864,0.451516,58.7057,-91.6979
10.5763,0.444692,59.3864,-93.0484
10.9661,0.438246,60.0364,-94.3379
11.3559,0.432145,60.6582,-95.5713
11.7458,0.426358,61.2540,-96.7528
12.1356,0.420859,61.8256,-97.8864
12.5254,0.415625,62.3748,-98.9754
12.9153,0.410635,62.9032,-100.0229
13.3051,0.405869,63.4121,-101.0318
13.6949,0.401313,63.9029,-102.0046
14.0847,0.396949,64.3766,-102.9436
14.4746,0.392766,64.8344,-103.8509
14.8644,0.388751,65.2772,-104.7284
15.2542,0.384892,65.7059,-105.5778
15.6441,0.381180,66.1213,-106.4008
16.0339,0.377605,66.5241,-107.1988
16.4237,0.374159,66.9151,-107.9733
16.8136,0.370835,67.2948,-108.7253
17.2034,0.367625,67.6639,-109.4563
17.5932,0.364523,68.0228,-110.1671
17.9831,0.361522,68.3722,-110.8588
18.3729,0.358618,68.7124,-111.5324
18.7627,0.355804,69.0438,-112.1886
19.1525,0.353077,69.3670,-112.8284
19.5424,0.350432,69.6823,-113.4524
19.9322,0.347865,69.9900,-114.0614
20.3220,0.345372,70.2904,-114.6560
20.7119,0.342949,70.5840,-115.2369
21.1017,0.340594,70.8709,-115.8045
21.4915,0.338302,71.1514,-116.3596
21.8814,0.336072,71.4259,-116.9026
22.2712,0.333900,71.6945,-117.4339
22.6610,0.331784,71.9574,-117.9541
23.0508,0.329721,72.2150,-118.4635
23.4407,0.327710,72.4674,-118.9626
23.8305,0.325748,72.7148,-119.4518
24.2203,0.323833,72.9573,-119.9314
24.6102,0.321963,73.1952,-120.4018
25.0000,0.320136,73.4286,-120.8632
